status,priority,book,subject,page,numberCandidate,markerType,ocrLine,ocrPreview,extractedIds,extractedQuestion
추출됨,낮음,전력계통공학,계통공학,34,1-1,grid_heading,@ 예제,예제 전력 시스템의 특징과 이의 문제점에 대해서 간단히 설명하여라. OH) 전력 AAW 다음과 같은 특징이 있다. 우리는 이 득징을 잘 이해하고 이 특징 때문에 받,ex-grid-0034-01,"전력 시스템의 특징과 이의 문제점에 대해서 간단히 설명하여라. OH) 전력 AAW 다음과 같은 특징이 있다. 우리는 이 득징을 잘 이해하고 이 특징 때문에 받 생하게 되는 문제점에 대해 잘 대차해 나가야 할 것이다. 1) Saat 수요의 동시성 전력 수요는 연간을 통해서 계절적으로 변화함과 동시에 요일에 따른 주간 변화, 하루의 Abele 따른 일간 변화, 그 밖에 수분 단위의 단시간 변화 "
추출됨,낮음,전력계통공학,계통공학,35,1-2,word,이제 1-2 ),이제 1-2 ) 우리나라의 전력거래소에 대해 설명하여라. ) Qe 우리나라의 전력산업구조 개편 AL) 조치로 발전 부분의 경쟁 체제를 구축하기 위하여,ex-grid-0035-01,우리나라의 전력거래소에 대해 설명하여라.
추출됨,낮음,전력계통공학,계통공학,56,2-2,grid_alias,WA 2-2,"WA 2-2 저황이 O.1[Q/krn], 리액턴스가 0,36[Q/km]e 154[kV], 120 km]2] 송전선이 있다. 154[kV], JOO[MVAIE 기준으로 했을 때 이 송전선의 임피던스를 %법으로 표시하여라. 다음 기준 용량",ex-grid-0056-01,"저황이 O.1[Q/krn], 리액턴스가 0,36[Q/km]e 154[kV], 120 km]2] 송전선이 있다. 154[kV], JOO[MVAIE 기준으로 했을 때 이 송전선의 임피던스를 %법으로 표시하여라. 다음 기준 용량 을 1000[MVAl= 하면 이들 값은 어떻게 되겠는가 1 BM AT 전압 V=154[kV], 3상 용량 P, =100,000[kVA]S] WS 식 (2.15)에 대입하면"
추출됨,낮음,전력계통공학,계통공학,56,2-3,word,이제 2-3 i J,이제 2-3 i J 1차/ 2차/ 3차 정격 용량이 240[MVA] / 264[MVA] / 120[MVA]9] 3권선 변압기가 있는데 각 권선 간의 임피던스는 정격 전압 기준에서 다음과 같다.,ex-grid-0056-02,"1차/ 2차/ 3차 정격 용량이 240[MVA] / 264[MVA] / 120[MVA]9] 3권선 변압기가 있는데 각 권선 간의 임피던스는 정격 전압 기준에서 다음과 같다. 제 = 21.8[%] (240[MVA] 기준) Xp = 7.6[%] (120[MVA] 기준) qq =19-6[%] (120[MVA] 기준) TOO[MVA] 기준의 1, 2, 3차 임피던스 X,, X, ㅅ,을 구하여라."
추출됨,낮음,전력계통공학,계통공학,64,2-4,word,여제 24,"여제 24 1480 41, 801400+7 6000480의 부하 임피던스 Z 및 어드미턴스 를 1541 /], 100[MVAl 기준의 단위법으로 표시하여라.",ex-grid-0064-01,"1480 41, 801400+7 6000480의 부하 임피던스 Z 및 어드미턴스 를 1541 /], 100[MVAl 기준의 단위법으로 표시하여라. 풀이 = M8 [kV] _ 먼저 VIPUI= 가사 000 [Pu] (P+iQ) PUl= eA el fon 008 =08+06 [PU] 따라서 식 (2.47), 4) (2.48)로부터, zipu) = 애미 0 (09603 _ , ZiPul= Wo F"
추출됨,낮음,전력계통공학,계통공학,64,2-5,grid_alias,A 2-5 및,"A 2-5 및 15401 0/], 1000[MVA] 기준에서 임피던스가 (20+780)[%인 송전선의 수전단에 3000 /[(역 를 100(%)/의 조류가 BRS 경우 이 송전선의 전력, 무효 전력 손실 및 이때의 송전단 전압",ex-grid-0064-02,"15401 0/], 1000[MVA] 기준에서 임피던스가 (20+780)[%인 송전선의 수전단에 3000 /[(역 를 100(%)/의 조류가 BRS 경우 이 송전선의 전력, 무효 전력 손실 및 이때의 송전단 전압 ㅣ 의 크기를 구하여라."
추출됨,낮음,전력계통공학,계통공학,69,2-7,grid_alias,wa 27,"wa 27 정격 전압 [kv], 정격 용량 A00[MVA], Xq = 20[%]의 발전기가 있다. ) (1) 정격 전압에서 무부하 운전 중 )",ex-grid-0069-01,"정격 전압 [kv], 정격 용량 A00[MVA], Xq = 20[%]의 발전기가 있다. ) (1) 정격 전압에서 무부하 운전 중 ) (2) 정격 전압에서 Set 360[4/]+ HGO[MVARIS 운전 중 발전기 단자에서 3상 단락되었을 , 경우 단락 직후의 7 를 구하여라."
추출됨,낮음,전력계통공학,계통공학,79,2-10,grid_alias,Wi 210,"Wi 210 ) 그림 2-202 같은 27 52M 계통의 선로 정수가 표 2-4에서와 같이 100,000[kva] 기준의",ex-grid-0079-01,"그림 2-202 같은 27 52M 계통의 선로 정수가 표 2-4에서와 같이 100,000[kva] 기준의 PURSE 주어져 있다. 이 ASS Yous 행렬을 구하여라."
추출됨,낮음,전력계통공학,계통공학,88,2-12,grid_alias,wa 212,wa 212 그림 2-249 같이 AMOS 표시된 계통이 있다. 먼저 이 계통의 어드미턴스 행렬 Yous 구하고 이 계통에서 다음과 같은 계통 변경이 발생하였을 SPO] 어드미턴스 행렬 ㅠ6를,ex-grid-0088-01,"그림 2-249 같이 AMOS 표시된 계통이 있다. 먼저 이 계통의 어드미턴스 행렬 Yous 구하고 이 계통에서 다음과 같은 계통 변경이 발생하였을 SPO] 어드미턴스 행렬 ㅠ6를 수정하여라. (1) 새로운 선로(= 0.08+ 7 0.24, 46 /2= 7 0.025)가 모선 로부터 인출되어 새로운 모선 와 접속될 경우 (2 모선 Q, 간에 새로운 선로(6 =0.04+ 7 0.12, 726 "
추출됨,낮음,전력계통공학,계통공학,152,441,grid_alias,FH 441,FH 441 그림 4-2에 보인 2모선 계통의 어드미턴스 행렬과 모선 전압 벡터를 다음과 같이 직각 좌표 표시로 하였을 경우의 전력 방정식을 구하여라.,ex-grid-0152-01,그림 4-2에 보인 2모선 계통의 어드미턴스 행렬과 모선 전압 벡터를 다음과 같이 직각 좌표 표시로 하였을 경우의 전력 방정식을 구하여라.
