id,kind,book,subject,chapter,page,number,keyword,formula,reviewNeeded,question
ex-song-0033-01,example,최신 송배전공학,송배전공학,1장 송배전 계동의 구성,33,1.30,444,True,True,"444 각각 2, 6050, 1, 가 같다고 하고 () 같은 aie 전선을 사용할경우 (2) 전선의 전중량을 동일하게 할 경우 단상 2선식과 3상 3썬식의 전력 손실비는 어떻게 되겠는가 (1) 같은 a7 ANS 사용할 경우의 비교 전선의 ari 같으므로 1선당의 AVR 은 같다. 단상] 22404) F wb Ry=aKtn,=3A( 2 이므로 Fis 3, 1 1 ge B-3(S) = 또는 50 한편 du dase 저항[=/ 에 역비레하므로 단상 및 8상의 Gaal"
ex-song-0044-01,example,최신 송배전공학,송배전공학,1장 Sue 계통의 구성,44,17,안정도,True,True,"j SHAS 765(kV]Z 격상시켰을 경우에 AS 수 있는 효과는 1. 대규모 전력 수송이 용이(34506]에 비해 8.4배 중대) 2, 건설에 필요한 소요용지 최소화(34506 ]의 53[%] 경감) 3. 전력 손실 감소(345[6]보다 20[%] 정도 감소) 4. 전력계통의 안정도 향상 5. 국내 전략 분야 기술 도약으로 국제 경쟁력 향상 Cora 1.8 if 우리나라의 SHASS 7OS[KV] - 345[kV] - 154[kV] - 22.9[kV]2] 4"
ex-song-0044-02,example,최신 송배전공학,송배전공학,1장 Sue 계통의 구성,44,1.9,송전,True,True,"우리나라의 송전설비 현황과 그 발달 과정을 설명하라. 그림 1.18~그림 1.159] 보는 바와 같이 초창기(1950년대)에는 154[eV] 방사상 계통 에서 환상망 계통으로 운영하다가 1980년대부터는 송전전압이 345[611로 격상, 84504] 망상계통으로 확충되었다. 그 후 경제성장을 거듭하면서 수요가 크게 늘어나 각처에 대용량 화력발전단지, 대용 량 원자력발전단지가 들어서면서 다시 송전전압이 7650041로 격상되어 이제 우리나라 는 아시아에서도 SEH"
tx-song-0048-05,exercise,최신 송배전공학,송배전공학,1장 송배전 계통의 구성,48,5,송전,True,False,"송전 전력, 부하 역률, 송전 거리, 전력 손실 및 선간 전압이 같을 경우 3상 3선식에서 전선 한 가닥에 흐르는 전류는 단상 2선식의 경우의 몇 배가 되는가"
tx-song-0048-07,exercise,최신 송배전공학,송배전공학,1장 송배전 계통의 구성,48,2,6050,True,False,"6050, l, 가 같다고 하고 전선의 전 중량을 동일하게 할 경 우 단상 2선식과 3상 3선식의 전력 손실비는 어떻게 되겠는가"
tx-song-0048-08,exercise,최신 송배전공학,송배전공학,1장 송배전 계통의 구성,48,7,송전,True,True,"경동선을 77[ /]의 송전선에 사용할 경우 최대 송전 AAS 20,000[kw], 역률을 0.8 로 하면 얼마만한 F719] MMO 가장 경제적으로 되겠는가 단, 전선 1[9]의 가격을 9.000[원/ 9], 전기 요금을 54[원/001], 8 = 0.1, 송전 선로의 연간 이용률은 60%]라 고 한다."
ex-song-0063-01,example,최신 송배전공학,송배전공학,2장 718 송전 선로,63,2.3,38,True,True,"j 38[mm ]2] 경동 연선을 사용해서 높이가 같고 경간이 330[]인 철탑에 가선 하는 경우 OEE 얼마인가 단, 이 경동 AM] 인장 하중은 1180[(9], 안전율 은 2.2이고 전선 자체의 무게는 0.348[9/00]라고 한다. 인장 하중이 1480[681이고 HAL] 8.8이므로 최대 사용 장력 Ty =~ orate T= Tp = Tyt+wD = Ty +0.348D) 이도 DE 그 wS _ 0.348% 3307 _ 사재 7 O4lml Cori2.4"
ex-song-0063-02,example,최신 송배전공학,송배전공학,2장 718 송전 선로,63,2.5,평평한,True,True,"j 평평한 RUA 같은 장력으로 가선된 2경간의 이도가 각각 4[m] 및 9[07]였다. 여기서, 중간 지지점에서 전선이 떨어져서 처지게 되었다고 하면 이도는 얼마로 되겠는가 단, 지지점의 높이는 모두 다 같다고 하고 전선의 신장은 무시하는 것 으로 한다."
tx-song-0079-04,exercise,최신 송배전공학,송배전공학,2장 가공 송전 선로,79,4,38,True,True,"38[mm ]2] BS AMS 사용해서 높이가 같고 경간이 300[07인 철탑에 가선하는 경 우 이도는 얼마인가 단, 이 경동 AMO] 인장 SSS 1,480[kg], HIBS 2.2이고 전 선 자체의 무게는 0.334[ 9/0]라고 한다."
tx-song-0079-05,exercise,최신 송배전공학,송배전공학,2장 가공 송전 선로,79,5,경간이,True,True,"경간이 250[m]el 가공 전선로에서 전선 1[07]의 무게가 0.41 9], 전선의 수평 장력이 150[191이라고 한다. 이 전선로의 이도외 전선의 실제 길이를 구하여라."
