id,round,subject,category,keyword,score,level,reason,question
q-108-4-6,108회 4교시,송배전공학,발송배전,ESS,61,core,개념형 표현 9 · 핵심 주제 4 · 서술형 요구 · 기본개념 키워드 · 수치 다수,EESS(ElectricalEnergyStorageSystem)에적용되는전지에대하여설명하시오.1)EESS의개요2)EESS개념적원리3)EESS운영에따른분류4)에너지저장장치용전지적용기술5)에너지저장시스템(EESS)으로서적용되는전지의종류3가지와각각의원리및장․단점1-1
q-128-2-4,128회 2교시,계통공학,발송배전,선식다중접지,57,core,개념형 표현 7 · 핵심 주제 3 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"선식다중접지방식으로선정한이유를기술적,경제적측면에서설명하시오.4.수용가의비접지계통에적용하는3상접지변압기(GroundingTransformer,GTR)의사용목적,종류,동작원리에대하여설명하시오."
q-135-3-5,135회 3교시,계통공학,발송배전,PSS,56,core,개념형 표현 8 · 핵심 주제 2 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"차동기공진(SSR)및계통안정화장치(PSS)에대하여다음을설명하시오.1)차동기공진(SSR)의개념2)SSR의발생원인,영향과대책3)계통안정화장치(PSS)의설치목적,동작원리및적용되는발전소최소용량"
q-126-4-1,126회 4교시,계통공학,발송배전,CT,52,core,개념형 표현 6 · 핵심 주제 3 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"전력계통에서FACTS(FlexibleACTransmissionSystem)의역할에대하여설명하고,STATCOM(StaticCompensator)의개념,시스템구조및원리,기능에대하여설명하시오."
q-115-2-6,115회 2교시,발전공학,발송배전,발전용보일러,52,core,개념형 표현 6 · 핵심 주제 3 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"발전용보일러의종류및표준석탄화력에주로쓰이는관류형보일러방식의원리,구성및장·단점에대하여설명하시오."
q-118-3-5,118회 3교시,송배전공학,발송배전,CT,50,core,개념형 표현 6 · 핵심 주제 2 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"국내에적용중인‘FACTS(FlexibleACTransmissionSystem)’설비에대하여보상대상,제어목적,동작원리및특징을각각설명하시오."
q-118-1-1,118회 1교시,발전공학,발송배전,발전기,49,core,개념형 표현 5 · 핵심 주제 6 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,발전기후비보호방식의종류별동작개념및특성을비교설명하시오.
q-132-4-3,132회 4교시,발전공학,발송배전,화력발전,49,core,개념형 표현 5 · 핵심 주제 4 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"복합화력발전의종류,배열회수방식의원리및특징에대하여설명하시오."
q-135-4-4,135회 4교시,발전공학,발송배전,풍력발전,49,core,개념형 표현 5 · 핵심 주제 4 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,현재까지개발되어사용중인풍력발전기들의종류는다양하다.그러나일반적으로Type1∼4로분류하는데Type별특징및장·단점을설명하시오.
q-137-2-3,137회 2교시,발전공학,발송배전,동기발전기,49,core,개념형 표현 5 · 핵심 주제 5 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,동기발전기의다음을설명하시오.1)발전원리와구조2)역률(부하의종류)이발전기의합성유기기전력에미치는영향2-1
q-128-2-2,128회 2교시,송배전공학,발송배전,HVDC,49,core,개념형 표현 5 · 핵심 주제 4 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"HVDC(HighVoltageDirectCurrent)에대하여다음각항목을설명하시오.1)경제적,기술적관점에서의AC송전과비교한DC송전의장점2)HVDC케이블종류3)전류형HVDC와전압형HVDC의주요특징"
q-131-3-4,131회 3교시,송배전공학,발송배전,ESS,49,core,개념형 표현 5 · 핵심 주제 4 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,에너지저장장치(ESS:EnergyStorageSystem)에대하여다음을설명하시오.1)분산전원에서에너지저장의필요성2)용도에따른에너지저장장치분류3)수퍼캐패시터(SuperCapacitor)의에너지저장원리와종류
q-118-3-3,118회 3교시,송배전공학,발송배전,초전도자기에너지저장설비smes,48,core,개념형 표현 6 · 핵심 주제 1 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"초전도자기에너지저장설비(SMES)의기본구성,동작원리,특징및적용에대하여설명하시오."
q-130-2-6,130회 2교시,송배전공학,발송배전,선계전방식전류순환식,48,core,개념형 표현 6 · 핵심 주제 1 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,파일럿계전방식중표시선계전방식(전류순환식및전압반향식)및반송파계전방식(방향비교방식및위상비교방식)의적용및동작원리에대하여설명하시오.
q-114-2-4,114회 2교시,계통공학,발송배전,ESS,47,core,개념형 표현 5 · 핵심 주제 3 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"전기저장장치(ESS)를배터리형과비배터리형으로구분하여종류별작동원리및특징,ESS의전력계통적용방안에대하여설명하시오."
q-121-2-3,121회 2교시,계통공학,발송배전,고압차단기,47,core,개념형 표현 5 · 핵심 주제 3 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"배전계통에서사용하는고압차단기를소호매질에따라분류하고,차단기별동작원리와특징에대하여설명하시오."
q-115-3-2,115회 3교시,발전공학,발송배전,가스터빈발전,47,core,개념형 표현 5 · 핵심 주제 3 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"디젤엔진,가스엔진,가스터빈을사용한열병합발전시스템의구성도를그려서설명하고,이들원동기를적용한열병합발전시스템의특징을비교표로나타내시오."
q-117-2-3,117회 2교시,발전공학,발송배전,신재생발전기,47,core,개념형 표현 6 · 핵심 주제 4 · 서술형 요구 · 기본개념 키워드 · 계산형 신호 1,"신재생발전기의 무효전력 출력 2. 한류리액터로 사용되는 건식 공심리액터의 구조적 특징을 설명하고, 현장적용 시 유의사항을 전기적, 자계적 측면에서 각각 설명하시오. 3. 교류(AC) 지중송전선로를 채용하는 이유와 장·단점을 가공송전선로와 비교하여 설명하시오."
q-113-3-2,113회 3교시,송배전공학,발송배전,배전선,47,core,개념형 표현 5 · 핵심 주제 3 · 답안키워드 개념형 · 서술형 요구 · 기본개념 키워드,"배전선로보호기기중아래사항에대하여설명하시오.1)선로용퓨즈(LineFuse)구성요소별적용시고려사항,설치위치2)자동재폐로차단기(Recloser)의원리,동작상태의분류및동작순서(순시동작2회,지연동작2회)"
